areaType,areaName,areaCode,date,newAdmissionsWeekly,cumAdmissions
nation,England,E92000001,2021-12-18,,525112
nation,England,E92000001,2021-12-17,5402,524377
nation,England,E92000001,2021-12-16,,523634
nation,England,E92000001,2021-12-15,,522857
nation,England,E92000001,2021-12-14,,522052
nation,England,E92000001,2021-12-13,,521237
nation,England,E92000001,2021-12-12,,520443
nation,England,E92000001,2021-12-11,,519671
nation,England,E92000001,2021-12-10,5158,518975
nation,England,E92000001,2021-12-09,,518268
nation,England,E92000001,2021-12-08,,517469
nation,England,E92000001,2021-12-07,,516715
nation,England,E92000001,2021-12-06,,515916
nation,England,E92000001,2021-12-05,,515180
nation,England,E92000001,2021-12-04,,514452
nation,England,E92000001,2021-12-03,4625,513817
nation,England,E92000001,2021-12-02,,513193
nation,England,E92000001,2021-12-01,,512474
nation,England,E92000001,2021-11-30,,511776
nation,England,E92000001,2021-11-29,,511077
nation,England,E92000001,2021-11-28,,510408
nation,England,E92000001,2021-11-27,,509801
nation,England,E92000001,2021-11-26,4542,509192
nation,England,E92000001,2021-11-25,,508572
nation,England,E92000001,2021-11-24,,507922
nation,England,E92000001,2021-11-23,,507170
nation,England,E92000001,2021-11-22,,506511
nation,England,E92000001,2021-11-21,,505909
nation,England,E92000001,2021-11-20,,505261
nation,England,E92000001,2021-11-19,4802,504650
nation,England,E92000001,2021-11-18,,504013
nation,England,E92000001,2021-11-17,,503316
nation,England,E92000001,2021-11-16,,502589
nation,England,E92000001,2021-11-15,,501876
nation,England,E92000001,2021-11-14,,501181
nation,England,E92000001,2021-11-13,,500503
nation,England,E92000001,2021-11-12,5432,499848
nation,England,E92000001,2021-11-11,,499119
nation,England,E92000001,2021-11-10,,498322
nation,England,E92000001,2021-11-09,,497501
nation,England,E92000001,2021-11-08,,496693
nation,England,E92000001,2021-11-07,,495843
nation,England,E92000001,2021-11-06,,495104
nation,England,E92000001,2021-11-05,5601,494416
nation,England,E92000001,2021-11-04,,493730
nation,England,E92000001,2021-11-03,,493013
nation,England,E92000001,2021-11-02,,492206
nation,England,E92000001,2021-11-01,,491315
nation,England,E92000001,2021-10-31,,490416
nation,England,E92000001,2021-10-30,,489556
nation,England,E92000001,2021-10-29,6044,488815
nation,England,E92000001,2021-10-28,,487975
nation,England,E92000001,2021-10-27,,487087
nation,England,E92000001,2021-10-26,,486132
nation,England,E92000001,2021-10-25,,485221
nation,England,E92000001,2021-10-24,,484356
nation,England,E92000001,2021-10-23,,483527
nation,England,E92000001,2021-10-22,5823,482771
nation,England,E92000001,2021-10-21,,482011
nation,England,E92000001,2021-10-20,,481212
nation,England,E92000001,2021-10-19,,480309
nation,England,E92000001,2021-10-18,,479415
nation,England,E92000001,2021-10-17,,478519
nation,England,E92000001,2021-10-16,,477691
nation,England,E92000001,2021-10-15,4898,476948
nation,England,E92000001,2021-10-14,,476196
nation,England,E92000001,2021-10-13,,475466
nation,England,E92000001,2021-10-12,,474714
nation,England,E92000001,2021-10-11,,473954
nation,England,E92000001,2021-10-10,,473269
nation,England,E92000001,2021-10-09,,472663
nation,England,E92000001,2021-10-08,4296,472050
nation,England,E92000001,2021-10-07,,471431
